Output_Category_Name,Output_Standard_Code,Output_Standard_Name,Output_Indicator_Code,Output_Indicator_Name,Intermediate_Output_Indicator,SOAlign,Reporting_level,Ouptut or Other Output,APR_Include,Data_source,No_of_countries,No_of_measurements,Target,Actual,Progress
Assets created,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext",Number of Household and School Gardens,TRUE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,4,4,9793,6071,62%
Assets created,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext","Number of water points (ponds, shallow wells, weirs, dams) constructed or rehabilitated",TRUE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,6,21,452889,442016,98%
Assets created,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext","Total annual capacity, installed, restored or maintained for energy generation or storage",TRUE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,2,3,0,0%
Assets created,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext","Total number of climate adaptation assets built, restored or maintained",TRUE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,4,15,1319,924,70%
Assets created,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext",Total number of hectares of areas brought under restoration/improved ecosystems and/or climate-resilient management practices,TRUE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,31,31,99%
Assets created,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext",Total tonnes of fish stock brought under sustainable management practices,TRUE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,2,0,0%
Assets created,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext",Hectares of land forested,TRUE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,2,2,16,0,0%
Assets created,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext",Hectares of land rehabilitated/benefiting from irrigation infrastructures,TRUE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,5,12,36799,39379,107%
Assets created,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext",Kilometers of drainage canals and flood protection dykes built/rehabilitated,TRUE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,3,4,47,70,149%
Assets created,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext",Kilometres of feeder roads and trails constructed/repaired,TRUE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,5,5,503,489,97%
Assets created,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext",Kilometres of irrigation canals,TRUE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,3,3,458,495,108%
Assets created,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext",Number of bridges constructed/rehabilitated,TRUE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,2,2,2,1,50%
Assets created,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext",Number of community infrastructure,TRUE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,6,7,225,242,108%
Assets created,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext",Number of culverts and drainage,TRUE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,2,2,55,53,96%
Assets created,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Hectares of community gardens and orchards established/rehabilitated,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,2,2,58,28,48%
Assets created,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Number of Household and School Gardens,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,3,4,955,798,84%
Assets created,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure","Number of water points (ponds, shallow wells, weirs, dams) constructed or rehabilitated",FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,3,14,274,274,100%
Assets created,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure","Total number of climate adaptation assets built, restored or maintained",FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,2,6,36,35,97%
Assets created,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Total number of hectares of areas brought under restoration/improved ecosystems and/or climate-resilient management practices,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,166,166,100%
